,Area,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_cat,Marital_cat,Gender_cat,Churn_cat
5425,Suburban,0,81,55565.75,Married,Female,No,7.200426,0,65.52605,152.5104,5913.125552,1,1,0,0
5426,Rural,3,67,43915.77,Married,Male,Yes,9.413829,1,61.96091,210.127,5688.676981,0,1,1,1
5427,Urban,1,80,30844.7,Widowed,Male,No,6.324142,1,66.9628,192.4567,5733.035422,2,4,1,0
5428,Urban,0,75,60136.7,Separated,Male,No,8.938938,0,60.91354,220.1149,5894.516764,2,3,1,0
5429,Rural,0,76,53468.72,Widowed,Nonbinary,No,11.24818,1,71.52256,112.4551,5766.913605,0,4,2,0
5430,Rural,1,39,64799.95,Separated,Male,No,10.57648,0,67.39149,197.6288,6182.666346,0,3,1,0
5431,Suburban,0,60,111892.6,Never Married,Female,No,13.33737,1,57.31946,142.4689,5312.129835,1,2,0,0
5432,Urban,1,89,84596.35,Married,Female,No,8.402222,0,71.93473,124.9643,5796.999774,2,1,0,0
5433,Suburban,0,79,72320.92,Divorced,Male,No,13.06288,1,68.64996,132.466,6261.419372,1,0,1,0
5434,Rural,1,63,35704.68,Never Married,Female,No,12.13201,0,60.18407,149.9707,5173.091219,0,2,0,0
5435,Suburban,1,57,16649.73,Never Married,Female,No,6.824724,0,58.32931,127.482,4862.320826,1,2,0,0
5436,Rural,2,22,22393.09,Widowed,Male,No,8.116704,0,50.05258,275.1336,5005.571485,0,4,1,0
5437,Urban,0,47,42617.19,Divorced,Female,No,8.850749,0,65.44764,114.9838,5466.37029,2,0,0,0
5438,Urban,1,41,25656.47,Never Married,Male,No,10.77254,0,68.65945,172.4404,6503.984053,2,2,1,0
5439,Rural,1,59,113028.1,Divorced,Male,No,11.3049,1,52.79234,129.9915,5072.66967,0,0,1,0
5440,Urban,1,68,75171.75,Never Married,Female,No,5.960738,0,62.59338,177.4945,5942.048606,2,2,0,0
5441,Suburban,9,63,52391.66,Married,Female,No,3.362308,0,69.53443,179.9794,6178.61031,1,1,0,0
5442,Urban,3,40,31780.88,Divorced,Male,No,7.779367,0,49.96921,169.9447,4529.909678,2,0,1,0
5443,Rural,1,47,62285.3,Divorced,Male,No,6.657385,0,70.78918,104.9643,6336.618694,0,0,1,0
5444,Urban,1,25,27052.82,Divorced,Male,No,12.05531,0,57.74783,147.4421,5082.031319,2,0,1,0
5445,Suburban,2,61,23672.57,Married,Male,No,15.46065,0,53.77634,124.9781,4594.835502,1,1,1,0
5446,Suburban,0,45,36084.05,Married,Male,No,5.803708,0,53.34625,142.4713,5128.882309,1,1,1,0
5447,Suburban,0,83,54073.62,Separated,Female,No,11.16039,0,61.33997,194.9768,5270.685618,1,3,0,0
5448,Suburban,0,59,115405.2,Never Married,Female,No,10.65683,1,65.78,232.652,6054.367041,1,2,0,0
5449,Rural,0,70,9901.11,Widowed,Female,No,9.49165,1,66.47606,225.1457,6502.025208,0,4,0,0
5450,Urban,3,24,56591.47,Never Married,Male,No,7.924796,0,65.83332,162.4538,6300.056458,2,2,1,0
5451,Rural,9,60,10521.06,Widowed,Female,No,5.310665,0,65.04596,184.967,5948.856328,0,4,0,0
5452,Suburban,1,38,44828.91,Widowed,Female,No,8.501293,1,42.31228,192.4404,3894.441976,1,4,0,0
5453,Suburban,3,68,87243.94,Widowed,Female,No,11.52485,1,38.28807,169.9671,3491.783586,1,4,0,0
5454,Urban,1,37,44792.39,Divorced,Female,No,8.625992,1,49.90782,159.9942,4475.105272,2,0,0,0
5455,Rural,4,79,25315.11,Never Married,Male,No,12.11202,0,52.00223,172.4555,4695.750395,0,2,1,0
5456,Rural,2,81,56875.65,Widowed,Female,No,7.536421,1,69.51253,162.447,6322.708205,0,4,0,0
5457,Urban,0,89,27155.66,Separated,Male,No,16.4535,1,39.01296,139.9568,3382.423508,2,3,1,0
5458,Suburban,3,78,60256.74,Married,Nonbinary,No,8.059137,0,55.26536,275.1198,5112.939726,1,1,2,0
5459,Urban,6,66,18020.93,Never Married,Male,Yes,9.609291,1,47.02878,277.6513,4811.89025,2,2,1,1
5460,Suburban,4,78,38792.69,Married,Female,No,9.050694,0,57.76017,162.447,5431.15051,1,1,0,0
5461,Suburban,1,62,945.47,Married,Female,Yes,8.314029,0,58.23726,214.9525,5088.803181,1,1,0,1
5462,Rural,2,22,26451.48,Divorced,Male,No,9.17938,0,70.4859,119.9568,6655.981104,0,0,1,0
5463,Suburban,1,57,36374.44,Widowed,Female,No,9.099766,0,67.82145,232.6228,6187.029956,1,4,0,0
5464,Suburban,9,77,124735.8,Never Married,Male,No,7.238898,2,53.04753,265.1283,5276.196262,1,2,1,0
5465,Urban,0,54,22871.91,Separated,Male,No,9.241893,0,50.90725,207.4673,4642.032276,2,3,1,0
5466,Urban,7,43,37989.78,Separated,Male,No,6.088598,0,68.90613,164.9647,6709.021998,2,3,1,0
5467,Suburban,1,85,36987.9,Separated,Female,No,14.85701,0,48.20538,105.011,3950.92899,1,3,0,0
5468,Rural,2,75,29161.86,Separated,Male,No,12.09365,0,65.26303,252.624,5903.302417,0,3,1,0
5469,Rural,1,51,87206.32,Married,Female,No,12.65671,0,61.3125,152.5022,5460.921432,0,1,0,0
5470,Suburban,1,31,44761.66,Divorced,Male,No,16.16919,2,60.25968,137.4392,5269.076385,1,0,1,0
5471,Urban,0,70,23622.45,Divorced,Male,No,6.335191,6,57.81554,137.4836,5320.166858,2,0,1,0
5472,Rural,3,60,52354.35,Married,Male,No,4.939062,0,67.8576,130.0064,6017.570291,0,1,1,0
5473,Suburban,2,34,34352.36,Divorced,Female,No,7.470028,0,51.55857,139.9875,4899.179172,1,0,0,0
5474,Suburban,8,27,57922.83,Widowed,Male,No,12.67625,0,66.10268,184.9634,6641.027483,1,4,1,0
5475,Rural,2,60,51591.16,Separated,Male,No,15.17395,0,70.65651,124.9781,5981.238779,0,3,1,0
5476,Suburban,2,45,14253.48,Separated,Male,No,9.941965,0,59.23589,242.6281,5610.672962,1,3,1,0
5477,Suburban,3,21,14474.74,Separated,Male,No,15.72313,1,68.1383,200.1323,6769.093084,1,3,1,0
5478,Rural,7,76,81311.64,Divorced,Male,No,13.93608,0,59.27489,152.4798,5385.903276,0,0,1,0
5479,Rural,0,71,13044.82,Widowed,Male,No,13.76037,0,63.59925,139.9816,5559.919752,0,4,1,0
5480,Suburban,1,46,24925.09,Separated,Male,No,10.20264,0,54.13164,182.4433,5296.312677,1,3,1,0
5481,Suburban,0,31,28229.96,Widowed,Female,No,8.910387,1,49.8342,92.5018,4226.329148,1,4,0,0
5482,Urban,4,57,28554.11,Divorced,Male,No,9.52118,0,67.31834,114.9728,5769.179556,2,0,1,0
5483,Urban,2,75,7503.93,Separated,Female,No,12.05761,0,50.33619,232.6228,4726.095224,2,3,0,0
5484,Suburban,3,85,104931.3,Never Married,Male,No,7.620545,0,43.77028,275.1336,4315.04425,1,2,1,0
5485,Rural,6,34,15548.43,Separated,Male,No,10.80098,1,62.5003,124.9607,5921.61952,0,3,1,0
5486,Rural,3,52,39800.89,Never Married,Female,No,14.37339,0,38.54459,192.4404,3601.393455,0,2,0,0
5487,Urban,0,79,23513.42,Never Married,Female,No,11.21728,0,59.51288,149.9621,5057.818142,2,2,0,0
5488,Urban,3,79,60196.97,Never Married,Male,No,8.320959,1,53.46837,184.9496,5200.564235,2,2,1,0
5489,Suburban,1,25,30352.63,Married,Male,No,9.34142,0,67.2235,192.4705,6015.544544,1,1,1,0
5490,Rural,0,61,60511.95,Married,Female,No,12.13357,0,62.16298,137.4392,5248.831273,0,1,0,0
5491,Suburban,3,75,21198.04,Separated,Male,No,15.29214,1,55.90679,252.6378,5248.280009,1,3,1,0
5492,Urban,2,32,11981.69,Never Married,Female,No,10.51434,0,68.37005,162.4676,6484.666128,2,2,0,0
5493,Suburban,1,35,36965.48,Separated,Male,No,10.02068,1,63.04335,182.4608,5662.285046,1,3,1,0
5494,Suburban,3,62,38139.38,Divorced,Male,No,12.64941,0,62.90729,210.1563,5854.565694,1,0,1,0
5495,Rural,0,39,46605.04,Divorced,Male,No,4.815435,0,63.42204,160.0122,5566.008454,0,0,1,0
5496,Urban,1,24,43152.51,Divorced,Male,No,10.96828,0,68.74532,94.97283,6315.438306,2,0,1,0
5497,Suburban,1,20,64212.33,Divorced,Male,Yes,12.25402,0,49.30275,174.9699,5003.406744,1,0,1,1
5498,Urban,4,78,12958.97,Divorced,Female,No,13.15864,1,70.72564,220.1185,6283.625527,2,0,0,0
5499,Urban,0,30,25702.76,Married,Female,No,3.143798,0,52.16336,139.965,4993.628447,2,1,0,0
5500,Urban,0,87,57937.88,Separated,Female,No,10.13562,0,65.52904,150.007,5489.048081,2,3,0,0
5501,Suburban,1,39,44565.15,Separated,Male,No,8.432151,0,65.33592,139.9979,5747.351224,1,3,1,0
5502,Rural,0,64,30466.06,Married,Female,No,8.669616,0,68.96904,242.6281,6237.268861,0,1,0,0
5503,Urban,0,34,18848.82,Widowed,Female,No,10.31104,1,48.03427,159.9942,4300.642039,2,4,0,0
5504,Urban,0,40,9389.63,Married,Male,No,12.15902,0,61.38844,265.1283,5803.879938,2,1,1,0
5505,Rural,3,61,50676.79,Widowed,Female,No,14.47735,0,45.6394,187.4847,4245.941407,0,4,0,0
5506,Urban,5,79,13663.98,Married,Female,No,12.57414,1,64.45957,152.466,5611.443086,2,1,0,0
5507,Urban,0,25,51295.85,Married,Female,No,4.289739,0,57.08448,107.482,5247.947941,2,1,0,0
5508,Urban,3,81,28986.88,Never Married,Female,No,13.7377,0,71.44192,149.9913,6193.00568,2,2,0,0
5509,Urban,3,85,67319.03,Never Married,Female,No,7.197183,1,57.37827,137.4836,5245.226834,2,2,0,0
5510,Suburban,1,69,38343.18,Never Married,Male,No,13.03,0,63.96491,174.9768,6023.00098,1,2,1,0
5511,Rural,6,60,3308.31,Widowed,Male,No,9.696143,0,62.11401,184.967,5663.31815,0,4,1,0
5512,Rural,6,19,28887.1,Widowed,Male,No,13.04317,1,48.49962,130.0244,4596.831004,0,4,1,0
5513,Suburban,0,64,16836.27,Never Married,Female,No,6.238726,0,55.0447,169.9447,4727.689294,1,2,0,0
5514,Suburban,4,28,67999.24,Married,Female,No,8.564499,0,67.19559,127.525,5929.012302,1,1,0,0
5515,Suburban,0,80,3328.23,Separated,Male,No,14.90964,1,52.03938,232.624,5155.317217,1,3,1,0
5516,Urban,1,55,47824.43,Never Married,Male,No,4.446464,0,62.40564,174.9755,5620.564008,2,2,1,0
5517,Suburban,7,33,82263.4,Divorced,Male,No,10.6619,0,57.49209,129.9778,5646.886372,1,0,1,0
5518,Rural,3,74,22610.64,Never Married,Male,Yes,10.04493,0,67.16512,275.1336,6268.031469,0,2,1,1
5519,Suburban,2,34,30369.33,Married,Male,No,8.580033,0,56.9918,124.9781,4946.826952,1,1,1,0
5520,Rural,0,70,9416.77,Separated,Male,Yes,11.68265,0,62.85596,232.6378,6155.213641,0,3,1,1
5521,Suburban,2,40,116303.0,Divorced,Female,No,13.00405,0,53.22972,162.4827,4771.495872,1,0,0,0
5522,Suburban,3,81,29516.52,Never Married,Male,No,4.071444,2,67.11808,117.4872,6071.058616,1,2,1,0
5523,Urban,2,45,60915.52,Separated,Female,No,9.039072,1,62.01898,172.4555,5484.119427,2,3,0,0
5524,Rural,4,50,69785.23,Divorced,Male,No,14.24574,2,64.8122,207.6094,5933.623643,0,0,1,0
5525,Urban,4,34,8316.09,Never Married,Female,Yes,15.17632,0,64.26152,242.6106,6473.341815,2,2,0,1
5526,Rural,0,50,13238.2,Widowed,Male,No,12.39145,0,68.68481,207.6094,6127.79877,0,4,1,0
5527,Urban,0,87,34209.19,Never Married,Male,No,6.413823,0,65.64814,144.9607,5407.576321,2,2,1,0
5528,Rural,0,54,46724.11,Separated,Female,No,6.186245,0,68.85746,137.4698,6114.267462,0,3,0,0
5529,Suburban,2,26,44343.75,Never Married,Male,No,9.817377,2,70.634,147.4601,6104.035524,1,2,1,0
5530,Rural,8,71,55008.17,Divorced,Female,No,10.26151,1,41.51958,167.4847,4443.003488,0,0,0,0
5531,Urban,4,87,44669.47,Separated,Male,No,3.521663,0,58.64675,152.4555,5627.453779,2,3,1,0
5532,Rural,0,73,22773.12,Never Married,Male,No,7.184528,1,58.52603,197.4876,5216.298758,0,2,1,0
5533,Urban,1,69,16185.46,Separated,Male,No,12.0769,0,69.78436,137.4392,5924.920176,2,3,1,0
5534,Rural,1,70,77445.52,Widowed,Female,No,5.725979,0,57.81671,160.0013,4930.470975,0,4,0,0
5535,Rural,0,22,96339.25,Married,Male,No,10.17641,0,56.54286,140.0049,4967.342093,0,1,1,0
5536,Suburban,2,49,27386.18,Never Married,Female,No,11.69753,0,65.41235,197.5169,5910.47033,1,2,0,0
5537,Suburban,1,28,18033.25,Separated,Female,No,7.337078,1,66.63528,127.4421,6131.622551,1,3,0,0
5538,Rural,0,79,38096.62,Married,Male,No,9.709458,0,66.17528,117.4835,5639.931173,0,1,1,0
5539,Rural,2,46,54079.21,Married,Female,No,7.362249,0,59.6877,125.0073,5118.044271,0,1,0,0
5540,Rural,0,51,54776.36,Divorced,Male,No,9.295079,1,60.83302,162.4827,5379.145841,0,0,1,0
5541,Rural,0,76,27666.82,Never Married,Female,Yes,8.180153,0,52.41441,232.6228,4831.531789,0,2,0,1
5542,Suburban,0,75,14788.19,Married,Female,No,14.82937,1,71.08539,149.9778,5911.716831,1,1,0,0
5543,Urban,1,80,50705.77,Divorced,Female,No,12.9098,0,45.18454,184.9963,4081.555041,2,0,0,0
5544,Rural,1,51,5871.1,Never Married,Male,No,4.141424,0,64.16494,127.475,5526.91472,0,2,1,0
5545,Suburban,0,71,94076.08,Widowed,Female,No,7.605146,1,44.81075,162.4653,4318.755591,1,4,0,0
5546,Rural,2,73,23553.3,Widowed,Male,No,9.146769,1,60.9767,124.9781,5145.473955,0,4,1,0
5547,Urban,1,66,44541.99,Widowed,Male,No,9.06755,0,51.32084,119.9897,4501.420909,2,4,1,0
5548,Urban,2,78,43747.73,Widowed,Female,No,11.47664,0,66.91612,194.9992,5863.402923,2,4,0,0
5549,Suburban,3,47,35696.39,Married,Female,No,17.38034,0,47.4558,159.9642,4347.952465,1,1,0,0
5550,Rural,1,85,18273.34,Separated,Male,No,10.19528,0,65.73734,222.6362,5881.848209,0,3,1,0
5551,Urban,1,52,41329.2,Widowed,Female,No,5.217412,0,59.01535,149.9483,5055.536874,2,4,0,0
5552,Urban,2,29,80683.44,Divorced,Male,No,11.77618,0,58.60767,172.4579,5350.192494,2,0,1,0
5553,Urban,0,49,131647.5,Married,Male,No,9.740724,0,61.38199,162.447,5782.142746,2,1,1,0
5554,Rural,2,49,20541.47,Divorced,Female,No,9.699018,0,48.35393,132.466,4711.28064,0,0,0,0
5555,Suburban,1,37,12125.2,Separated,Male,No,2.864423,0,71.9076,152.5022,6457.248707,1,3,1,0
5556,Urban,0,70,32332.63,Never Married,Male,No,11.82086,0,51.17826,112.4551,4205.731492,2,2,1,0
5557,Urban,2,39,31680.79,Separated,Female,No,11.12098,2,63.05008,139.9568,5530.421045,2,3,0,0
5558,Rural,1,47,46701.02,Never Married,Male,No,6.071604,0,43.2487,242.6326,4231.393427,0,2,1,0
5559,Suburban,1,59,38226.33,Divorced,Female,No,12.26505,1,61.92686,164.967,5863.779578,1,0,0,0
5560,Urban,10,73,7780.59,Divorced,Female,No,6.963307,0,43.29451,179.9476,4007.110298,2,0,0,0
5561,Suburban,4,78,38511.78,Divorced,Female,No,6.423763,1,53.66219,227.4754,4838.973661,1,0,0,0
5562,Rural,4,87,10311.58,Separated,Female,No,8.315119,0,38.71974,112.4551,3170.023123,0,3,0,0
5563,Urban,1,43,76301.97,Divorced,Male,No,9.058356,0,69.05558,222.6143,6723.72149,2,0,1,0
5564,Suburban,1,41,32105.64,Divorced,Male,No,12.78937,1,56.09481,212.6228,5739.181377,1,0,1,0
5565,Suburban,0,37,30320.37,Separated,Male,No,7.885518,0,68.03309,222.6792,6349.320467,1,3,1,0
5566,Rural,8,89,74303.71,Divorced,Female,No,12.21401,0,61.22216,117.4835,5365.288201,0,0,0,0
5567,Urban,3,24,100029.1,Separated,Male,Yes,16.1971,0,41.8312,187.6094,4518.564,2,3,1,1
5568,Suburban,3,50,6754.71,Married,Female,No,8.381855,0,65.33504,105.011,5530.817595,1,1,0,0
5569,Suburban,0,78,40810.36,Never Married,Female,No,7.466966,0,71.03451,117.5015,5897.711605,1,2,0,0
5570,Rural,8,18,21400.67,Divorced,Male,No,11.6213,0,61.42037,210.1518,6062.895419,0,0,1,0
5571,Suburban,3,27,9395.57,Separated,Female,No,10.69919,0,71.79134,162.4689,6284.979187,1,3,0,0
5572,Rural,1,58,36531.81,Divorced,Male,No,13.73892,0,64.48138,232.624,6277.702239,0,0,1,0
5573,Suburban,0,39,13883.75,Never Married,Male,No,8.718083,0,52.98075,204.9634,4866.729815,1,2,1,0
5574,Rural,1,87,98072.18,Never Married,Male,No,3.737016,3,62.20987,162.4676,5815.857846,0,2,1,0
5575,Suburban,0,67,17018.27,Divorced,Male,No,11.55215,0,64.41881,242.6143,5820.82826,1,0,1,0
5576,Urban,0,72,73130.15,Divorced,Male,No,9.172161,0,62.84931,102.4746,5249.465143,2,0,1,0
5577,Urban,0,44,95564.57,Separated,Female,No,8.103596,0,59.86174,142.5007,5592.352902,2,3,0,0
5578,Urban,4,64,30931.95,Never Married,Male,No,8.038547,0,59.2505,162.4653,5730.292957,2,2,1,0
5579,Urban,0,76,47159.92,Separated,Female,No,12.98739,0,66.00861,220.1615,5933.314519,2,3,0,0
5580,Rural,1,48,13039.56,Separated,Female,No,10.92729,0,41.09169,169.9378,3653.559021,0,3,0,0
5581,Urban,7,46,17974.25,Married,Female,No,13.11159,0,70.73353,124.9643,6024.265777,2,1,0,0
5582,Suburban,2,59,26317.37,Never Married,Male,Yes,10.83154,0,62.01927,252.6378,5770.797143,1,2,1,1
5583,Rural,2,53,160862.9,Divorced,Male,No,3.4579,2,63.28283,192.4404,5641.382534,0,0,1,0
5584,Suburban,0,51,47659.53,Divorced,Female,No,9.840486,0,52.98033,215.1591,5368.841578,1,0,0,0
5585,Urban,0,38,58762.0,Married,Female,No,11.03118,0,58.67143,220.1185,5303.936549,2,1,0,0
5586,Urban,9,22,71459.96,Divorced,Male,No,8.510764,1,62.65335,114.9838,5678.725935,2,0,1,0
5587,Suburban,3,45,79363.76,Never Married,Female,Yes,9.865242,0,60.34933,212.6415,6009.463821,1,2,0,1
5588,Suburban,3,67,22326.55,Married,Male,No,10.51705,0,40.35976,160.0013,3653.777417,1,1,1,0
5589,Urban,0,71,23360.78,Separated,Female,No,13.01854,0,70.49798,140.0342,5939.80671,2,3,0,0
5590,Urban,0,36,106700.6,Married,Female,No,8.844759,1,69.7635,79.97886,5757.753614,2,1,0,0
5591,Urban,0,83,50525.18,Never Married,Male,No,9.835454,0,61.02521,187.4974,5779.744736,2,2,1,0
5592,Urban,3,78,38259.59,Separated,Male,No,10.94626,0,58.2745,270.1604,6019.460078,2,3,1,0
5593,Urban,6,74,48478.65,Married,Female,No,6.224191,0,65.49323,149.9378,6135.141648,2,1,0,0
5594,Urban,4,89,14208.46,Never Married,Male,No,10.42188,0,62.79035,127.5067,5401.505392,2,2,1,0
5595,Suburban,1,77,62758.96,Separated,Male,No,11.67521,0,41.58309,194.9882,3819.338688,1,3,1,0
5596,Urban,1,88,51179.24,Separated,Male,Yes,8.490049,0,47.99239,265.1283,4579.647107,2,3,1,1
5597,Rural,0,58,58834.68,Never Married,Female,No,8.796769,1,48.29494,107.4806,4197.55311,0,2,0,0
5598,Suburban,4,79,42887.04,Married,Male,No,7.539443,2,43.00021,147.4421,3788.951502,1,1,1,0
5599,Urban,1,45,220383.0,Divorced,Male,No,7.925637,2,59.60867,182.4676,5326.92968,2,0,1,0
5600,Urban,1,88,17824.03,Married,Male,No,11.96892,0,67.91991,104.9643,5967.092974,2,1,1,0
5601,Urban,8,60,46550.44,Widowed,Male,No,13.44192,1,60.99804,235.1591,5876.124132,2,4,1,0
5602,Suburban,1,72,42700.87,Never Married,Female,No,15.71134,1,60.40651,162.5299,5234.429593,1,2,0,0
5603,Urban,8,50,116562.7,Widowed,Male,No,9.336313,0,47.17819,119.9568,4839.103673,2,4,1,0
5604,Rural,1,59,50308.74,Married,Female,No,16.29437,0,68.83272,124.9781,5722.009817,0,1,0,0
5605,Suburban,4,88,130048.4,Never Married,Female,No,10.55942,0,53.49141,149.9598,4611.987,1,2,0,0
5606,Urban,0,21,39441.87,Never Married,Female,Yes,6.388387,1,57.27044,257.6375,5899.517682,2,2,0,1
5607,Rural,4,63,28253.53,Never Married,Male,No,8.305023,1,59.43102,184.9647,5361.231393,0,2,1,0
5608,Urban,4,41,106862.5,Married,Female,Yes,8.006363,0,39.61469,175.1331,3851.447958,2,1,0,1
5609,Suburban,0,80,41893.09,Never Married,Male,No,4.545308,0,61.47987,172.4579,5356.753961,1,2,1,0
5610,Suburban,8,34,69150.98,Never Married,Male,No,11.46918,0,58.54353,130.0244,5432.197233,1,2,1,0
5611,Urban,3,62,38691.22,Widowed,Male,No,14.09089,0,49.7446,152.4742,4869.487736,2,4,1,0
5612,Urban,8,19,93517.61,Separated,Male,No,12.85222,0,66.00869,124.9607,6319.838076,2,3,1,0
5613,Rural,3,45,7998.07,Separated,Female,No,7.45222,0,70.02121,165.0182,6274.153212,0,3,0,0
5614,Rural,0,85,19354.83,Divorced,Female,No,6.473077,0,60.81561,242.6281,5500.343313,0,0,0,0
5615,Urban,6,39,46288.04,Married,Male,No,5.375651,1,60.5779,129.9915,5930.097335,2,1,1,0
5616,Rural,2,59,5884.45,Separated,Female,No,2.970156,0,51.58472,149.9598,4489.267692,0,3,0,0
5617,Suburban,0,23,32255.86,Married,Female,No,10.0547,0,55.31656,245.132,5247.418341,1,1,0,0
5618,Rural,2,18,47145.15,Widowed,Male,No,6.182063,0,63.30929,137.4392,5592.361956,0,4,1,0
5619,Rural,8,35,33081.5,Widowed,Male,No,16.2337,0,53.27752,182.4433,5477.886159,0,4,1,0
5620,Urban,0,79,48011.59,Married,Nonbinary,No,8.447596,0,65.90305,262.6106,5884.613452,2,1,2,0
5621,Suburban,2,77,54548.92,Never Married,Male,No,9.987264,2,60.87582,210.127,5536.195731,1,2,1,0
5622,Suburban,0,38,48724.89,Separated,Male,No,12.87371,0,66.0517,242.6435,6121.654756,1,3,1,0
5623,Rural,0,24,11566.91,Widowed,Female,No,6.888013,0,57.31571,160.0013,5009.452903,0,4,0,0
5624,Suburban,0,26,9362.64,Divorced,Male,No,12.49043,0,58.97505,194.9663,5813.10524,1,0,1,0
5625,Rural,7,54,54726.01,Married,Female,No,8.218342,0,62.37954,92.5018,5394.351469,0,1,0,0
5626,Suburban,3,48,28251.23,Married,Female,No,6.038077,0,70.56358,177.4876,6708.158084,1,1,0,0
5627,Urban,1,69,49245.97,Widowed,Male,No,15.43806,0,65.07415,127.4586,5632.965693,2,4,1,0
5628,Suburban,0,87,67379.0,Separated,Female,No,10.444,0,56.20378,112.4844,4551.440341,1,3,0,0
5629,Rural,0,23,8549.99,Never Married,Female,No,7.733514,0,54.2897,162.5119,4924.466653,0,2,0,0
5630,Urban,1,21,23794.39,Married,Male,No,9.368647,1,60.15898,174.9755,5547.950501,2,1,1,0
5631,Rural,4,73,32631.96,Never Married,Male,No,9.687778,0,61.84801,184.9647,5526.487954,0,2,1,0
5632,Suburban,1,48,61763.76,Separated,Female,No,8.187755,0,56.9978,140.0013,5348.99535,1,3,0,0
5633,Urban,8,39,58807.77,Married,Male,No,10.7472,0,46.30619,137.4872,4243.908817,2,1,1,0
5634,Rural,3,53,27857.09,Never Married,Male,No,5.365486,1,66.7449,152.4579,6382.531232,0,2,1,0
5635,Urban,6,34,24721.14,Widowed,Female,No,7.323119,0,65.29309,139.9512,6160.220905,2,4,0,0
5636,Urban,4,18,51899.15,Divorced,Female,No,5.072082,0,58.05485,124.9643,4984.849588,2,0,0,0
5637,Urban,0,86,54397.09,Never Married,Female,No,12.96235,1,56.79909,149.9913,4884.456533,2,2,0,0
5638,Rural,2,81,21145.92,Widowed,Male,No,12.02273,2,71.93174,129.9915,6599.564823,0,4,1,0
5639,Rural,2,45,48863.25,Separated,Male,No,9.966641,1,59.85396,182.4833,5305.602924,0,3,1,0
5640,Urban,2,61,14976.0,Widowed,Male,Yes,8.297271,1,69.32327,184.9797,6518.166442,2,4,1,1
5641,Suburban,3,56,17885.01,Separated,Female,No,7.935437,0,61.0911,147.4564,5653.372513,1,3,0,0
5642,Suburban,2,72,69163.69,Divorced,Male,No,4.150543,0,64.91322,172.4555,5715.030445,1,0,1,0
5643,Rural,0,78,72121.31,Divorced,Male,No,7.291041,0,67.93291,252.6378,6131.484263,0,0,1,0
5644,Urban,3,85,16055.06,Separated,Female,No,3.492741,1,47.64072,169.9378,4130.432282,2,3,0,0
5645,Urban,1,27,28377.8,Widowed,Female,No,6.516318,1,71.3084,117.472,6144.768685,2,4,0,0
5646,Urban,0,42,73776.62,Married,Male,No,12.92975,0,65.21792,187.6422,5874.281225,2,1,1,0
5647,Suburban,0,21,23445.49,Widowed,Female,No,8.435589,1,48.98002,147.4713,4335.611406,1,4,0,0
5648,Suburban,2,24,114405.4,Separated,Female,No,10.8124,1,64.19627,149.9447,6083.758176,1,3,0,0
5649,Urban,1,54,44990.6,Never Married,Male,No,7.534976,1,71.71986,174.9919,6296.461831,2,2,1,0
5650,Rural,4,61,10568.63,Married,Male,No,14.19495,0,67.1766,129.9483,6247.6461,0,1,1,0
5651,Suburban,1,39,38381.92,Separated,Female,No,10.6514,0,61.91778,222.6362,5672.644392,1,3,0,0
5652,Urban,2,78,48148.86,Divorced,Male,Yes,12.16455,1,48.08209,245.1283,5064.062256,2,0,1,1
5653,Rural,2,36,29547.56,Married,Female,No,11.08317,1,41.94323,140.0013,4185.58497,0,1,0,0
5654,Suburban,4,43,11962.55,Separated,Female,No,9.519194,0,50.58158,127.4887,4531.04303,1,3,0,0
5655,Rural,1,77,35075.03,Separated,Male,No,5.987646,1,65.83916,139.9512,5992.346598,0,3,1,0
5656,Rural,1,89,43120.73,Separated,Female,Yes,11.4493,0,57.40724,220.1149,5545.047634,0,3,0,1
5657,Urban,0,83,12886.92,Married,Female,No,12.79836,0,71.9056,174.9699,6535.810581,2,1,0,0
5658,Suburban,2,66,43202.68,Divorced,Female,No,10.72389,0,60.76709,127.4738,5576.448425,1,0,0,0
5659,Suburban,0,22,43147.9,Divorced,Nonbinary,No,9.462909,0,66.22209,127.4783,6070.299747,1,0,2,0
5660,Urban,0,38,92352.67,Married,Female,No,7.82306,1,61.18403,187.4847,5502.689262,2,1,0,0
5661,Rural,6,53,75181.43,Married,Female,No,7.778555,0,54.65604,172.4624,4991.819551,0,1,0,0
5662,Rural,1,35,9377.76,Divorced,Female,No,7.510036,1,66.15315,159.9942,5812.769976,0,0,0,0
5663,Urban,1,89,34774.75,Married,Male,No,12.13849,0,68.76753,115.0021,5762.602883,2,1,1,0
5664,Rural,1,41,25377.95,Separated,Male,No,7.175155,1,54.8774,149.9378,5301.860931,0,3,1,0
5665,Suburban,0,38,45285.69,Never Married,Female,No,9.353272,0,67.0795,232.6228,6157.745923,1,2,0,0
5666,Rural,7,22,37522.18,Separated,Male,No,14.83824,2,65.32463,187.4673,6557.26466,0,3,1,0
5667,Rural,1,25,60004.11,Divorced,Female,No,10.79749,0,52.14985,129.9621,5075.832913,0,0,0,0
5668,Suburban,1,61,28191.63,Widowed,Male,Yes,10.53761,0,42.6954,235.1555,4638.796434,1,4,1,1
